195,  2:06:13  , Festus Talam                 ,  KEN   ,  20.10.94  ,1, Eindhoven             ,      08.10.2017
195,  2:06:13  , Felix Kirwa                  ,  KEN   ,            ,2, Eindhoven             ,      08.10.2017
202,  2:06:14  , Felix Limo                   ,  KEN   ,  22.08.80  ,1, Rotterdam             ,      04.04.2004
202,  2:06:14  , Patrick Makau                ,  KEN   ,  02.03.85  ,4, Rotterdam             ,      05.04.2009
202,  2:06:14  , Gilbert Kirwa                ,  KEN   ,  20.12.85  ,1, Frankfurt             ,      25.10.2009
202,  2:06:14  , Vincent Kipruto              ,  KEN   ,  13.09.87  ,5, Berlin                ,      24.09.2017
206,  2:06:15  , Titus Munji                  ,  KEN   ,  20.12.79  ,3, Berlin                ,      28.09.2003
206,  2:06:15  , Emmanuel Mutai               ,  KEN   ,  12.10.84  ,4, London                ,      13.04.2008
206,  2:06:15  , Bazu Worku Hayla             ,  ETH   ,  15.09.90  ,2, Paris                 ,      05.04.2009
206,  2:06:15  , Wesley Korir                 ,  KEN   ,  15.11.82  ,2, Chicago               ,      09.10.2011
206,  2:06:15  , Vincent Kipruto              ,  KEN   ,  13.09.87  ,1, Frankfurt             ,      27.10.2013
206,  2:06:15  , Luka Kanda                   ,  KEN   ,  01.01.87  ,1, Chuncheon             ,      29.10.2017
212,  2:06:16  , Moses Tanui                  ,  KEN   ,  20.08.65  ,2, Chicago               ,      24.10.1999
212,  2:06:16  , Daniel Njenga                ,  KEN   ,  07.05.76  ,2, Chicago               ,      13.10.2002
212,  2:06:16  , Toshinari Takaoka            ,  JPN   ,  24.09.70  ,3, Chicago               ,      13.10.2002
212,  2:06:16  , Evans Rutto                  ,  KEN   ,  14.01.84  ,1, Chicago               ,      10.10.2004
212,  2:06:16  , Mark Kiptoo                  ,  KEN   ,  21.06.76  ,2, Frankfurt             ,      27.10.2013
217,  2:06:17  , Ryan Hall                    ,  USA   ,  14.10.82  ,5, London                ,      13.04.2008
217,  2:06:17  , Seboka Tola                  ,  ETH   ,  10.11.87  ,9, Dubai                 ,      27.01.2012
217,  2:06:17  , Eric Ndiema                  ,  KEN   ,  28.12.92  ,3, Eindhoven             ,      14.10.2012
217,  2:06:17  , Tamirat Tola                 ,  ETH   ,  11.08.91  ,4, Dubai                 ,      24.01.2014
217,  2:06:17  , Yacob Jarso                  ,  ETH   ,  05.02.88  ,1, Seoul                 ,      16.03.2014
222,  2:06:18  , Paul Tergat                  ,  KEN   ,  17.06.69  ,4, Chicago               ,      13.10.2002
222,  2:06:18  , Evans Rutto                  ,  KEN   ,  14.01.84  ,1, London                ,      18.04.2004
222,  2:06:18  , Gilbert Koech                ,  KEN   ,81,1, Amsterdam             ,      18.10.2009
225,  2:06:19  , Moses Mosop                  ,  KEN   ,  17.07.85  ,1, Xiamen                ,      03.01.2015
225,  2:06:19  , Bernard Kiprop Kipyego       ,  KEN   ,  16.07.86  ,1, Amsterdam             ,      18.10.2015
227,  2:06:20  , Haile Gebrselassie           ,  ETH   ,  18.04.73  ,1, Amsterdam             ,      16.10.2005
228,  2:06:21  , Gebretsadik Adhana           ,  ETH   ,  16.07.92  ,2, Amsterdam             ,      21.10.2012
228,  2:06:21  , Tilahun Regessa              ,  ETH   ,  18.01.90  ,1, Eindhoven             ,      12.10.2014
228,  2:06:21  , Lawrence Cherono             ,  KEN   ,  07.08.88  ,2, Rotterdam             ,      09.04.2017
228,  2:06:21  , Mohamed Farah                ,  GBR   ,  23.03.83  ,3, London                ,      22.04.2018
232,  2:06:22  , Adane Bentayehu              ,  ETH   ,            ,2, Amsterdam             ,      21.10.2012
232,  2:06:22  , Bernard Kiprop Kipyego       ,  KEN   ,  16.07.86  ,1, Amsterdam             ,      19.10.2014
232,  2:06:22  , Solomon Deksisa              ,  ETH   ,  11.03.94  ,2, Rotterdam             ,      10.04.2016
235,  2:06:23  , Robert Cheboror              ,  KEN   ,  09.09.78  ,1, Amsterdam             ,      17.10.2004
235,  2:06:23  , Robert Kiprono Cheruiyot     ,  KEN   ,  10.08.88  ,2, Frankfurt             ,      25.10.2009
235,  2:06:23  , Emmanuel Mutai               ,  KEN   ,  12.10.84  ,2, London                ,      25.04.2010
238,  2:06:24  , Samuel Wanjiru               ,  KEN   ,  10.11.86  ,1, Chicago               ,      10.10.2010
238,  2:06:24  , Raji Assefa                  ,  ETH   ,  18.02.86  ,2, Paris                 ,      15.04.2012
238,  2:06:24  , Stephen Chemlany             ,  KEN   ,  09.08.82  ,2, Seoul                 ,      16.03.2014
241,  2:06:25  , Evans Kiprop Cheruiyot       ,  KEN   ,  10.05.82  ,1, Chicago               ,      12.10.2008
241,  2:06:25  , Deressa Chisma               ,  ETH   ,  21.11.76  ,1, Praha                 ,      13.05.2012
241,  2:06:25  , James Kipsang Kwambai        ,  KEN   ,  28.02.83  ,1, Seoul                 ,      03.11.2013
241,  2:06:25  , Felix Kandie                 ,  KEN   ,  10.04.87  ,6, Amsterdam             ,      16.10.2016
241,  2:06:25  , Dickson Chumba               ,  KEN   ,  27.10.86  ,3, Tokyo                 ,      26.02.2017
241,  2:06:25  , Laban Korir                  ,  KEN   ,  30.12.85  ,3, Rotterdam             ,      09.04.2017
241,  2:06:25  , Paul Lonyangata              ,  KEN   ,  12.12.92  ,1, Paris                 ,      08.04.2018
248,  2:06:26  , David Kiyeng                 ,  KEN   ,83,3, Paris                 ,      05.04.2009
248,  2:06:26  , Feyisa Bekele                ,  ETH   ,  04.08.83  ,4, Amsterdam             ,      21.10.2012
