116,44.11,   Isaac Makwala              ,    BOT   ,  29.09.86 ,   1s2  ,  Beijing                 ,    24.08.2015
116,44.11,   Luguelin Santos            ,    DOM   ,  12.11.93 ,4,  Beijing                 ,    26.08.2015
116,44.11,   Wayde van Niekerk          ,    RSA   ,  15.07.92 ,   1h2  ,  Bloemfontein            ,    06.05.2016
116,44.11,   Fred Kerley                ,    USA   ,  07.05.95 ,   1s1  ,  Sacramento              ,    23.06.2017
121,44.12,   Harry Reynolds             ,    USA   ,  08.06.64 ,2,  Eugene                  ,    19.06.1993
121,44.12,   Michael Johnson            ,    USA   ,  13.09.67 ,1,  Athínai                 ,    05.08.1997
121,44.12,   Jeremy Wariner             ,    USA   ,  31.01.84 ,   1r5  ,  Waco                    ,    22.04.2006
121,44.12,   LaShawn Merritt            ,    USA   ,  27.06.86 ,   1s3  ,  Beijing                 ,    19.08.2008
121,44.12,   LaShawn Merritt            ,    USA   ,  27.06.86 ,1,  Eugene                  ,    24.06.2012
121,44.12,   Wayde van Niekerk          ,    RSA   ,  15.07.92 ,1,  Monaco                  ,    15.07.2016
127,44.13,   Harry Reynolds             ,    USA   ,  08.06.64 ,1,  Baton Rouge             ,    06.06.1987
127,44.13,   Quincy Watts               ,    USA   ,  19.06.70 ,1,  Sestriere               ,    28.07.1993
127,44.13,   Harry Reynolds             ,    USA   ,  08.06.64 ,2,  Stuttgart               ,    17.08.1993
127,44.13,   Derek Mills                ,    USA   ,  09.07.72 ,1,  Eugene                  ,    04.06.1995
127,44.13,   Jeremy Wariner             ,    USA   ,  31.01.84 ,1,  Zürich                  ,    19.08.2010
127,44.13,   LaShawn Merritt            ,    USA   ,  27.06.86 ,1,  Zürich                  ,    29.08.2013
127,44.13,   Nathon Allen               ,    JAM   ,  28.10.95 ,3,  Eugene                  ,    08.06.2018
134,44.14,   Roberto Hernández          ,    CUB   ,  06.03.67 ,2,  Sevilla                 ,    30.05.1990
134,44.14,   LaShawn Merritt            ,    USA   ,  27.06.86 ,3,  Stuttgart               ,    09.09.2006
134,44.14,   LaShawn Merritt            ,    USA   ,  27.06.86 ,   1r2  ,  Ponce                   ,    17.05.2014
137,44.15,   Harry Reynolds             ,    USA   ,  08.06.64 ,1,  London                  ,    10.07.1987
137,44.15,   Anthuan Maybank            ,    USA   ,  30.12.69 ,   1rB  ,  Lausanne                ,    03.07.1996
137,44.15,   Jeremy Wariner             ,    USA   ,  31.01.84 ,   1s1  ,  Beijing                 ,    19.08.2008
137,44.15,   Kirani James               ,    GRN   ,  01.09.92 ,1,  Baie Mahault            ,    14.05.2016
141,44.16,   Otis Harris                ,    USA   ,  30.06.82 ,2,  Athínai                 ,    23.08.2004
141,44.16,   LaShawn Merritt            ,    USA   ,  27.06.86 ,1,  Ostrava                 ,    17.06.2014
141,44.16,   Kirani James               ,    GRN   ,  01.09.92 ,   1s1  ,  Beijing                 ,    24.08.2015
144,44.17,   Innocent Egbunike          ,    NGR   ,  30.11.61 ,   1r1  ,  Zürich                  ,    19.08.1987
144,44.17,   Michael Johnson            ,    USA   ,  13.09.67 ,1,  Lausanne                ,    10.07.1991
144,44.17,   Kirani James               ,    GRN   ,  01.09.92 ,2,  Saint-Denis             ,    04.07.2015
147,44.18,   Samson Kitur               ,    KEN   ,  25.02.66 ,   2s2  ,  Barcelona               ,    03.08.1992
147,44.18,   Anthuan Maybank            ,    USA   ,  30.12.69 ,   1r1  ,  Zürich                  ,    14.08.1996
147,44.18,   Alvin Harrison             ,    USA   ,  20.01.74 ,   1r1  ,  Brisbane                ,    08.09.2000
147,44.18,   LaShawn Merritt            ,    USA   ,  27.06.86 ,1,  Zürich                  ,    03.09.2015
151,44.19,   Larry James                ,    USA   ,  06.11.47 ,2,  Echo Summit             ,    14.09.1968
151,44.19,   Jerome Young               ,    USA   ,  14.08.76 ,1,  Edwardsville            ,    23.05.1998
151,44.19,   Alvin Harrison             ,    USA   ,  20.01.74 ,2,  Zürich                  ,    12.08.1998
151,44.19,   LaShawn Merritt            ,    USA   ,  27.06.86 ,1,  Ad-Dawhah               ,    11.05.2012
151,44.19,   LaShawn Merritt            ,    USA   ,  27.06.86 ,   1rA  ,  New York City           ,    14.06.2014
151,44.19,   Isaac Makwala              ,    BOT   ,  29.09.86 ,   3h2  ,  Beijing                 ,    23.08.2015
151,44.19,   Wayde van Niekerk          ,    RSA   ,  15.07.92 ,1,  Roma                    ,    02.06.2016
151,44.19,   Nathon Allen               ,    JAM   ,  28.10.95 ,   2s1  ,  London                  ,    06.08.2017
159,44.2,   Danny Everett              ,    USA   ,  01.11.66 ,   2rA  ,  Zürich                  ,    17.08.1988
159,44.2,   Charles Gitonga            ,    KEN   ,  05.10.71 ,1,  Nairobi                 ,    29.06.1996
159,44.2,   Jeremy Wariner             ,    USA   ,  31.01.84 ,1,  Carson                  ,    25.06.2005
159,44.2,   Jeremy Wariner             ,    USA   ,  31.01.84 ,1,  Zürich                  ,    18.08.2006
159,44.2,   Jeremy Wariner             ,    USA   ,  31.01.84 ,2,  Eugene                  ,    03.07.2008
164,44.21,   Michael Johnson            ,    USA   ,  13.09.67 ,1,  Rieti                   ,    09.09.1990
